Number,Comments
310,I have yet to order from this and the website came up in an add. And I didn’t think it was legit until I saw these reviews saying it’s amazing quality. I am so excited to place the order soon. As well the prices are amazing. I think getting my package will feel like Christmas. I’m so excited
311,"A great shopping experience, as usual.  Your sales are amazing.  Thanks."
312,Quick shipping from Uruguay! Way better than some companies shipping within the U.S. I'm very happy with the clothes I received especially the sale prices. Really nice quality and the fit is perfect!
313,Delivery took 2 weeks and when the dress arrived it is way too small.I’m a 12 but ordered a 14 to wear loose yet I can’t even get it on.Also much lighter in colour.Can’t bothered to send back and keep track of refund so will put in the charity shop.
314,I absolutely love this company. Everything is excellent quality and the fit is spot on. Shipping to UK is unbelievably quick. I would totally recommend this company. Would give 10 stars
315,The quality of the clothes is really great for the price. Love the colors. The delivery is fast and exchanges and returns are smooth and hassle free. Would definitely recommend Shuuk to my friends.
316,Love the Lolita line of clothing  and can’t wait to try the other lines .  Amazing shipping too!
317,"I am not happy at all with the service I received from this company. I sent them several emails asking them to  provide me with the Royal Mail return label, in order to return the 3 shirts because they are very large. Unfortunately, they are ignoring my emails. Here is my order Number SK5399. Could you please send me the Royal Mail label so that I can return the shirts ?"
318,"The clothing items are great quality and are exactly as described on the webpage. Shipping was super fast and came earlier than expected. Return Policy is amazing. Free returns, no questions asked!"
319,my name maria i am very happy with this story my favorite thing is shopping and i like the clothes everything i like i shop a lot
320,"Great crinkle fabric shirts, I love the texture of the material!!"
321,Prompt response in less than 48 hours for an exchange in size. Turn around from the time I mailed the product and received the proper size in a week. Looking forward to my next purchase.Ronald Lewis
322,"I am very happy with this company.  This is my second purchase, these people are very responsive and their products are quality.  Their leather is imazing.  I had to switch an item and it was done right away and with ease. Overall I am very happy with their service"
323,"Bought this jacket and what an incredible piece!  Great quality.  The leather is soft and luxurious and has no odor.  The styling is really unusual and super flattering.  To find your size, use the size chart.  I love this jacket....will definitely buy another style or color!"
324,I love this jacket. I've been looking for a signature leather jacket that doesn't break the bank. And Fan Jackets delivered. This American product is well made and designed. I'm shaped like a rectangle and this peplum asymmetrical jacket gives me an allusion of an hour glass figure. I can't wait until it's cold enough to wear it. THANK YOU!!!
325,"Excellent quality jackets. Clearly real leather as they have that nice smell to them and are very soft. The sizing estimate was perfect too, which was a relief. I'm almost sad it's summer as I want to wear it right now everywhere, but at least I'm set up for autumn now. Great company, shop with confidence!"
326,"Our experience with a return went effortlessly smooth. Fans Jackets made sure that we were satisfied customers, no additional fees, and a customer service representative that exclusively worked with us throughout the entire transaction. Fans Jackets will always be our go to store for quality products, and customer service !  Thank You All !!"
327,Bought for my Twd Negan outfit but has become my go to jacket. Exactly like the jacket Negan wears from The Walking Dead and is comfy to wear aswell as feeling and looking as high quality as promised would definitely recommend.
328,The coat was very good quality. The only problem was that the sleeves were not wide enough for my fat arms. The return process was quick and easy as long as you follow all the rules.
329,This jacket is not only beautiful it's comfortable and practical. The zip out hood is soft and perfect for rain or snowfall. This jacket hugs your curves while also providing adequate room in the breast area. I would highly recommend for anyone who wants utility and beauty together in a gorgeous soft leather jacket!
330,Peplum jacket was beautifully made. Soft supple leather. Fit was spot on using their quide. Packed nicely and arrived sooner then expected. Highly worth the purchase.
331,"I recently purchased some beautiful leather driving gloves and I am so happy! The leather is soft, supple, and high quality. I read many other reviews that recommended buying a size smaller than normal since the gloves run large and I am glad I took that advice. I will definitely be ordering From this shop again."
332,I loved the jacket. It fits well and I can move around it easily. I'm 5.7 and usually wear XL. I bought an XL leather jacket. I can zip it all the way up and still have room to move freely. But for me another size up would have given me extra comfort. I would like to add the shipping time didn't take long either.
333,The leather jacket I purchase was true to size I follow the recommendations Fan jacket shared with me and I like the fit. the smell of leather still remain on it even after 3 weeks of wear. and for the price and discount you can't go wrong. Delivery wasn't long but its worth the wait. Just make sure you put all the information correctly. Much appreciated stay safe all.
334,I have purchased four jackets (leather and lambskin) from Fan Jackets. My last jacket arrived in a shedded package and the internal jacket packaging was bent. I inspected the jacket and there was no damage. I took photos and sent them to Fan Jackets for their review. I will continue to purchase from Fan Jackets as the quality and pricing of their jackets are great.
335,"I order the men's rip black cotton trucker jacket in a xl which is my normal size ,but I  had to return it as it fit a little tight , Jasper was great in customer service and they shipped out my 2xl right away and I  received it within 5 days and it fits prefect , I am very happy with the jacket but I would suggest to order it in a size up. thanks again for the great customer service Fanjackets !!"
336,"My experience ordering from your company was exceptional. Your app., made the fitting of my size very easy, my order was shipped quickly and the fit and quality of the jacket was outstanding. I thank you and your team for a job well done. I look forward to doing more business with your company in the near future."
337,"I ordered the wrong size. Even after checking the sizing charts I wasn't sure since I had recently lost weight.The exchange was painless and way better than expected. I received a response within 24 hours, the return label arrived and the exchange was fast and without any additional cost. I also received a discount code for my next purchase! The Jacket I received is top quality, and I'm very happy with it. Great communication and a great company to do business with."
338,"I bought a beautiful white coat in medium.  Should have bought a small but will get alterations.  Just for reference I am 5'2' 115 but with a 36 "" chest so that why I purchased medium.  So look at the way the coat is made to see if you should size up..normally I do size up but this time I should have sized down.  I have bought from Fan Jackets several times know and loved all of purchases."
339,Great experience! I will be using this company again.   This was a Christmas gift that I ordered early because I didn’t know if I had the right size. Upon getting it my friend lovvvvved the jacket but did need a different size.  The return was so easy and they sent a new jacket as soon as they got the old one back.  It was quite fast.  My person loves the jacket and the quality is great.  It even has the hoodie that was a must!
340,"we purchaced a leather blazer, to replace ours that got misplaced, we asked them if we ordered one if it didn,t fit would they supply return label they agreed, so we took a chance were we don,t buy cloths on line, we got the jacket fit perfect nice leather it was about the same as our 30 year old one had all the inside pockets like our original  over satisfied with- don,t be scared when ordering, you should be happy donny"
341,"The design of MINOAR's clothing impresses in photographs, and thankfully the material and workmanship more than satisfies in person as well. Their customer service is excellent, giving fast and very personal feedback and assistance. Since it can be such a gamble, I typically hesitate to purchase clothing online. I am glad to took the risk with MINOAR, and if you find yourself enjoying their aesthetic, I highly recommend you give them a chance."
342,"I have ordered several times from Minor.Love the design, quality and service.Feels like wearing an unique clothes"
343,"My experience with Minoar was very good , professional team, professional service, unique exceptional personalized items , the quality they provide is amazing! I purchased two cardigans and two pants and was very satisfied of my choice. I will surely do it again. FOR THE ONE WHO DOES NOT BELONG . Good work Minoar team . God bless 🙏🏻"
344,"Anxiously awaited my first order from Minoar - the Duality Skirt - after seeing various OOTD from a TikTok content creator who raved about Minoar. Totally understand why - WOW!  The skirt is gorgeous! So well made and material is so luxurious! Unlike any cotton I’ve ever experienced - almost like suede! Even unpackaging was an experience! The skirt was wrapped so beautifully in a cloth pouch and came with a personalized note… it’s the little details for me! 🤌🏽🤌🏽Was sad that skirt was too big and I couldn’t wear immediately! (ordered a large but runs a little big maybe ?? I and 5’2, 155#, apple shaped) -  But even Minoar’s Customer service was impeccable; prompt response and easy exchange!! Love it! Wish all online retailers were like this!! Will DEFINITELY be shopping Minoar again 🖤🖤🖤PS: if you’re concerned about pricing - just know that these items are truly impressive, well made, classic pieces that will likely withstand time if cared for properly!! And anyways fast fashion may be cheap but it sucks and doesn’t last!"
345,"Minoar has been one of my favorite brands to shop with for years now. Every order is well packaged and organized. Their return and exchange processes are very streamlined, their customer service representatives are kind and quick to respond, and their prices are more than reasonable for the quality you're receiving. Cannot recommend them enough!"
346,"Great clothes, fun designs, good quality fabric.Being an online website, its hard to gauge what fits and doesnt. I selected xl on every item and sizes were inconsistent upon reception.But overall, shipping was fast, no issues, customer service was helpful and handled size exchange quickly. Strong recommend."
347,"Nice clothes, nice store, nice customer service! Will be coming back!"
348,"Minoar is the kind of experience you hope for as a traveler and explorer, especially when that exploration goes beyond the immediate surroundings and way into the realm of ideas, approaches and philosophies. Minoar is a unique place. I will always treasure my experience of discovering the store and meeting the brilliant minds behind it. A rare place that allows you to discover bits of yourself by exploring theirs."
349,Not only is Minoars clothing uniquely cool it’s well-made too Staff are quick to respond to emails In a super professional friendly manor Definitely a customer for life Fred j
350,"Its the best community . You can always ask for a question or something about the things you want to know and they will be there for you. The quality is non other than perfect the designs are out of this world and you can be sure that it wont change it'll get even better because they care about the things ,every small detail . Dont hesitate and order free you wont be disappointed. Trust the MINOAR family."
351,"I’m so glad my boyfriend found this website and sent me a link to one of the skirts I ended up buying. I was searching for modular, dystopian skirts for a couple of weeks and these are exactly that! I love both of the skirts I got because — they’re unique. It’s so hard to find modular clothing on the market, especially fully adjustable pieces like this. Plus the silhouette is sick! Some things they could improve on are smoothness of the skirts (maybe a soft thin lining to enhance comfortability?) + more skirts AND pants/shorts available in white :)"
352,"My experiences with the Atelier has been stellar, with my latest order being the cherry on top. Will stick around this brand for a long long time 🔥"
353,"Service client fantastic, team adorable (Yoan, Tea, Alek, Radko and the rest of the team), I would like to thank again an amazing experience into the Minoar atmosphere I found myself more and more into their conception of the dark wear, which I spent a lot of time on the phone with them, it's priceless.Their garments it made with love and care is not like any clothing I could find in a different independent brand, this is the little difference change everything like the internal pocket cut in diagonal, it needs to think about this,  especially their signature the fiber bond technique is unique another avant-garde.Keep working hard team :)"
354,Minoar has been my go-to designer since 2017.   The customer service and quality of the clothing is exquisite.
355,"This company makes apparel outside of the high speed fashion industry, creating garments that will last and make lasting impressions whenever, wherever, and however you wear them.I started building a Minor wardrobe many years ago now, and I still love all the pieces I own. My most recent purchase was an Aspect face mask, it's such a great piece of headwear, unlike anything I've seen before. It's stunning!The company is run by passionate people who really interact with their clients, they are responsive and happy to help whenever you reach out. The handling of an order is swift, almost all my orders have arrived within a week (International shipping). Far quicker than what you normally expect when ordering anything really."
356,"Amazing quality, design and reliable service!This is a brand that will become a fashion powerhouse in Europe, the quality is 5 stars and the originality is out of this world!"
357,"Minoár is a dream come true for men and artists who always struggled to find original design clothes at affordable price. I ordered several pieces of clothing from them and always had excellent experience: these folks never disappoint! Shipping is free & light-speed fast, usually takes 2-3 days max across countries. Quality from materials, to style and packaging is top-notch. Appearance is even better than what advertised on-site, their clothes make you stand out from the crowd without being over-the-top. Several friends already asked where do I get all these cool top-wears from. Last but not least, their customer service responds in minutes and takes excellent care of your issues. I've always hated writing review, and yet - this avant-garde brand deserves some solid kudos. Rock on!"
358,"I placed my order on Tuesday, and it arrived that Friday. From halfway across the world! I love the book, and I’m definitely making a purchase here again!"
359,"Love your style, the items come in a nice pouch, i will definitely come back for more!"
360,Superb quality and fantastic service (e.g. quick shipment turnaround).
361,I browse the internet to find some new cloth. I suddenly see their advertisement. I click the website and see the dress. its quality is just awesome. I highly recommended to my friend and family to visit this store when they come to this country.
362,"I bought a jacket with $25 off as a promotion. Turns out I needed a size up. Rather than chance missing out on the next size up as part of the return/exchange process, I just bought it. And then sent the smaller size back for a refund. Four issues. 1) I lost the $25 off in the process 2) the jacket had tailor’s chalk near the buttonholes 3) I had to pay for returning it 4) the larger size jacket did not include a storage bag. It is a high quality jacket, but the experience was mundane."
363,"The super fast shipping makes buying over the web from Haspel faster and less time consuming, where I live, than getting into the car, battling traffic, and finding out the store has a limited selection of the seersucker I want. Too bad I don't live in New Orleans"
364,I am very happy with my white linen jacket. Very well made and fit perfectly...something not always the case when ordered online. I had to replace another white linen jacket that had been damaged (from a different supplier). The Haspel jacket was a better design and came in a very timely manner.
365,I paid $200 for an item and didn’t receive it. Called the company and they are not willing to replace or refund my money.   They said it’s not our responsibility that you didn’t receive your order. SHAMEFUL!
366,"I can only rate on my experience THIS time around.I ordered a pair of bucks, to have expeditiously, paying accordingly.Day I was to have them was called by someone at Haspel to say they weren’t coming due to an imperfection in product—A nice gesture as it was appreciated, of course.But was a necessary item for an event and I had to do without."
367,Haspel has been doing it right for over 100 years. They are my 'go to' for Summer weight suits. Can't beat the timeless fashion but definitely can beat the heat and look good too. Great customer service. Prompt deliveries 5 of out 5 starts for me.
368,"The first suit I ordered didn't fit, scarcely a surprise for an initial Internet clothing purchase. The return process was smooth as glass, and I was graciously led through it, although had I been paying better attention I could have figured it out for myself based on the clear online instructions.I immediately purchased a replacement, as I was concerned it might sell out, and within days had received my refund, plus the difference in price between the suits. The replacement suit arrived quickly. I now know my size for subsequent purchases."
369,You can go to high street; and find a tailor; and be fitted for a bespoke suit.  You can order a Haspel jacket;  have it delivered in a couple of days; and lay out four Benjamins.  Your choice.  I like summer. I like seersucker.  I like ordering my size; and getting my size — my American size.  You will too.
370,"I love Haspel clothes but two significant issues.  Your men’s slack sizes are off.  I wear 33w-34w pants in every other manufacturer and even your 36w are tight.  Also, how can a New Orleans based clothier specializing in seersucker run out of blue seersucker pants in May?  That’s just not good."
371,"I love my new black seersucker suit. The fit, the flex, the coolness!!! Wow! Can’t wait until the Chickory Brown comes back in stock. The custom service is a wow too! Answered any questions I had and delivery was exceptional as well. The only reason I gave four stars was because of cost. Yup, I paid for it and will again, but it hurts the pocket a bit for a seersucker suit."
372,"Per current practice of online shopping, I had to order a few different sizes of the same item to get the right fit.  But it's a nice evening jacket in seersucker, and other items. Haspel customer service was personable and efficient."
373,Great product. Limited inventory and service is lacking. I ordered a great suit. Jacket fit great and pants did not. Sent pants back to get larger size. Larger size not available. Pants credited. Jacket for suit useless without pants. Not possible to talk to a person when calling their number. No response to e-mails requesting info when larger pants will be available. Sent jacket back too. May reorder when sizes are available. Thanks.
374,Received jacket as expected.  Great condition.  High quality.  Well presented.  Perfect size. Got compliments.  Will order from Haspel again ! Thank you!
375,"I ordered my shirt knowing that the first order can be a bit of a gamble.  The shirt was amazing, but it could not quite contain my lifter's physique in spots.  Exchanged for the next size up, and the process went smoothly and quickly.  I will definitely be a return customer."
376,"Compliments to Jenn for being such a strong C/S rep.Placed an order for 2 shirts. Shipped to wrong address (UPS) fault.Neighbor left pkg. at my door the next afternoon after I had received a notethat it had been delivered.Opened pkg.  one shirt good, the other wrong color.Called C/S and was shipped the right color and arrived prior to our leave for acruise.  Will place another order on return and insist that I be billed for the 3rd. shirt that I have worn and will keep.ThaksMike Dickerson,    Cumming,  Ga."
377,I received the wrong pair of shoes. Will called me immediately which I appreciated a lot instead of getting an email. I told Will I  would keep the other shoes and he offered a discount on the replacement shoes again appreciated very much and shipped them out immediately. Again the fast response was excellent and you now have a regular customer in me.
378,"Thank you, Will!!! Your patience and perseverance with the perfect fit of the pin cord was customer service beyond expectations. You made it happen!! So grateful!"
379,"Better than expected. Ordered a size up for my husband so that we could tailor it to fit. Pant legs were slightly to slim on him, so if you have an athletic build be mindful that you will likely need to have the pants taken out. Shipping was super fast."
380,Quality shorts. Easy exchange
381,Very well made and constructed. Helpful dialogue with Seema to improve on fit from previous orders. Excellent result. Thansk
382,"My experience with Luxire is incredible. Their customer service is exceptional as is their execution and craftsmanship. I have acquired quiet a few pairs of trousers. In my pursuit to have the perfect silhouette, I have revisited luxire for alteration of my existing pair and they have always done it for free, in addition based on picture references I shared, they even modified the measurements, all remotely. I cannot stop buying from them, given the incredible experience I am having."
383,I've been buying pants from Luxire for about 3 months now. I had to go through some trial and error for fitting but my last pair was perfect and I will continue to purchase from Luxire for many years to come.Thank you
384,"Email consultation is almost perfect.(fit advice or any questions)I’m bewildered by how Luxire could put so much effort into 1:1 email conversation with a customer.Actually I feel somewhat apologetic when I ask too many and long questions, to which Luxire always kindly answers."
385,Good experience with the first pair of trousers. Some adjustments had to be made after the first try-on but Luxire agreed to take care of that (as much as can be done). Still some finetuning to be done on the next pair but I am happy with the first pair and will certainly order again.
386,Luxire for the perfect Ghurka pants !Top fit en cloth !!!Jan van den Donk
387,"NOT based in Munich. Ordered some trousers that were sent from Asia. Be prepared that if you order here you will need to pay additional custom costs. Pants are too small, recommendation would be 1-2 sizes bigger for average europeans."
388,I really enjoy working with Luxire. The MtM can be a bit costly at first but Luxire helping me out with fine tuning with every single order and offered me quite a lot of discounts throughout my journey until we finally got to a fit where I'm very comfortable. The workmanship is absolutely beautiful and so are the fabrics and fit (obviously). COMMUNICATION is KEY.
389,"Wonderful experience ordering from Luxire. The customer service (I corresponded with Seema) is prompt, detail-oriented, and helpful. I ordered a custom pair of corduroy high-waisted trousers and the quality and fit is exceptional. No other retailer allows for so much customization without exorbitant costs! I will definitely be ordering more from them."
390,"Very poor experience. I ordered a pair of pants that were made very far off from the measurements promised. Luxire did not admit any fault and offered to ""remake"" the pants if I paid an additional $75. Absolutely the worst experience I have had and will not ever recommend them to anyone."
391,"I'm a Luxire customer since 2013. Luxire provide my favourite shirts and trousers in consistent quality at an unbeatable price. On top of that we have undertaken many special orders together like a two-piece suit, tuxedo, leather office bag, cableknit cardigan, overcoat and much more, that turned out fantastic.I can recommend anyone to start with a trial shirt / trousers or send in a garment for replication. Anyways, you can't go wrong with any of their options as long as you precisely specify every detail from your imagination.Whereas turnaround time has been slow in the early years, these days all my orders arrive in Germany within 1-2 weeks which is insane for custom clothing.Even my girlfriend has started ordering her shirts at Luxire and she is going to try trousers soon too."
392,"I have now ordered several shirts and pairs of trousers from Luxire. The lead time is very short, and the garments themselves have all been of a very high quality. The Luxire staff with whom I have spoken have also been very attentive and helpful. I have no hesitation in recommending Luxire wholeheartedly."
393,"Luxire is a truly amazing company! I was recently in search of a custom pair of denim jeans and was able to pick everything I wanted and upload my measurements to luxires website. The pants shipped in 3 days, arrived 7 days later and fit perfectly. I highly recommend them. Definitely make sure if you submit your own measurements that you do them right."
394,"I’ve been a Luxire customer for several years. Fabrics, craftsmanship and prices are great. I have previously had some communication issues but that has been very much improved. It may take a couple of iterations to nail the fit, but with these prices you can’t complain. They are also very helpful with giving fit adjustments based on pictures of previous orders. I’ve tried more expensive MTM services with in person fittings but they cannot compete with Luxire in terms of price and delivery times."
395,"Firstly, the Solbiati stone grey linen is a great fabric.The design of the trousers was based on the Armani shape of the early '80s, looser, with a ""round leg"" shape, which was driven by the style of the pleat.Rather than the traditional forward / backward 1 or 2 pleats, this was a box pleat, as you might find on the back of a shirt.I sent a series of emails explaining what I wanted, together with pictures primarily from old Armani ad campaigns. I am pleased to say that Luxire produced a very good copy of an unusual design. One I doubt any of them had seen before"
396,Great website and customer service. Very speedy manufacturing and delivery. I have ordered several pants and am very satisfied: high quality fabrics and near perfect fit (which for me is almost unheard of). I’m definitely going to order from Luxire again!
397,"Luxire has once again been the best service I’ve used. They are quick, knowledgeable and dedicated to helping you achieve the exact fit and look you seek. I’ve now ordered five pants from Luxire for my wardrobe and loved every interaction along every step of the way. They are one of the best companies I’ve had to pleasure to work with and see who I plan to outfit the remainder of my trousers for fall/winter with. Even when mistakes occurred due to my own miscommunication they were happy to correct the issue and promptly set to making sure everything was correct."
398,"My first order with Luxire-a pair of trousers in VBC flannel.   From reading online reviews, I half expected to have trousers travel backwards and forwards halfway round the world before the fit was right. No, the fit was great. I used their online guide, measured two pairs I have that fit well and hey presto great fitting new pair. Now here's the fantastic bit...delivered in around a week!! Comms was great throughout-I had some specific requests, rapid response and the guys did as they said they would.  Would not hesitate at all to order from Luxire again."
399,"Fantastic made-to-measure service. Ordered a custom pair of navy linen trousers that was made and delivered within a week (to the Netherlands). Lots of customisation options. Unfortunately, my submitted measurements were slightly off so Seema from customer service kindly offered me a discounted remake. Great customer service that takes care of you and makes sure you get the best experience, both in terms of communication and fit. Can also highly recommend the high-waisted ready-to-wear trousers that have a classic fit, opposed to the slim-fit trousers that you find on high street."
400,"The whole process was great and the communication was very smooth over the email. The product turned out even better than I expected. The only negative thing was the extra charges, about 100 USD, I had to pay upon delivery, for the import in to the EU."
