,0
466,"Love the pants and these are the third pair that I have purchased from them. On the customer service side, the last order went wrong with UPS losing my package. Rather than wait on them to figure out their mistake, PublicRec went ahead and replaced them (using FedEx this time) and the pants arrived on time."
467,"I will try to keep this simple. Their clothes are expensive....BUT, they are more comfortable than anything I own or have tried on. There was a time when i thought people who paid close to $100 for pants were insane and now I own seven different pairs between the ADED and Workday pant. If you want quality you have to pay for quality.  Their customer service has always been quick to respond and more than reasonable when I had questions or concerns. Let’s face it, no company is perfect but Public Rec is close."
468,"The product is amazing!  It makes a middle aged man feel young, sporty and professional.  I have literally worn my all day joggers to business meetings, during video shoots, etc.  Hands down the most comfortable pant I have ever worn.  Get yourself a pair now!"
469,"I work from home and the AllDayEveryDay Pant and Jogger are the most comfortable pants I have EVERY worn.  I have turned all my family and friends on to them and they all agree.  Stylish too.  Need to run out for a coffee or meet a friend for lunch,  never even think about needing to change clothes."
470,"I made a large Christmas 2019 purchase for my Dad, brother and boyfriend from Public rec. It took 2 days for a Holiday season delivery. AMAZING! The All Day Everyday pants were such a hit with my Dad, I purchased him a new color for his birthday in March. The response time from Public Rec is faster than any company I have used before. I had to exchange for a different size and it only took 3 days to obtain the new size, I don’t think they had received the ones I had returned yet! Thanks Public Rec, can’t wait for the women’s line!"
471,"Bought these pants on 21st November they shipped on 24th waited till 17th December and here comes surprise on18th you have an item to pay £59.15 duties when contacted customer service been informed if I have paid duties at the time of purchase I shouldn't have to pay duties.... excuse me.... you should have to make provision while checking out how much I'd have to pay.... although I paid shipment and extremely costly pair of pants USD 171 for two pants an additional£59 guys beware of this online scams...,."
472,"They sent me the wrong pants after speaking to them to make sure I was getting the right ones. When I told them they said when you buy your next pair we will give you 10% off. The bank did the leaves they didn’t have a zip fly as they told me and no belt loops. They sent the wrong pants and then told me I couldn’t return them and expected me to buy another pair. These guys are a rip off don’t be fooled! They promise to make it right;but, they have done nothing more!Please, don’t BS me, there is too much of that these days!"
473,I recently purchased two pair of Workday shorts. Like other pants I have purchased from Public Rec they fit and feel fantastic. I have the long pants and the All Day Every Day shorts. All are top drawer clothes. I wear them all for dress or casual. I love the materials they’re made of.
474,"I really like the public rec pants I received today. Unfortunately CHF taxes were charged by Swiss Customs, but 1 email and 2 hours later the problem is solved and I got my reimbursement mail from PayPal 👍🏻👍🏻👍🏻 great service!"
475,Ordered 2 pants and 1 short. Delivery expected within 15 workdays. I am already waiting over 30 workdays and have not received anything yet. Public Rec says that my package apparently was not scanned and now is lost. I demanded a refund but Public Rec refuses to do so because they want to claim it first at their insurance partner. What kind of crappy service is this? Public Rec is responsible for delivering me the order I paid for. And if it is ‘lost’ you have to refund me first and than fight with your own insurance. Crappy company!
476,"I own 4 pair of ADED Pants, one ADED Jogger Pant, and 4 pairs of Workday Pants. I love them. The Workday Pant is perfect for my job...I teach Acting and Voice at a major state university, and can go from a meeting straight into the studio to lead a physical warm-up. They're perfect!"
477,"I love the all day everyday pants except for the zippered front pockets.  Maybe put a security zipper on a back pocket, not the front.  Unzipped the front pockets look tacky.  Zipped, it takes two hands to get it.Comfort, fit, fabric, all terrific!  Could the zippers be optional?"
478,I wrote the last one star review 3 days ago. Someone responded to make it appear they cared. Telling me to reach back out to support and they would work with me. Publicly you try to look good customer service wise but privately you don’t care at all. Pretty weak way to run a business.
479,I have made multiple purchases from public rec following a lengthy search for super comfort. They are the best quality and amazing to wear. It’s Ll I seem to wear during lockdown.Delivery from US is not the quickest but a few weeks and it’s worth the wait.
480,"I have a pair of ADED and their sweats. It's a good product, but I had to buy them from eBay since I'm in Canada. The site will show the price in CDN currency, but they won't mention the import and duty aren't covered until checkout.Otherwise I would give a higher score."
481,For UK customers - avoid !!! Even if they ship you a wrong size or colour you need to pay for return to US either by yourself or via their DHL return label - £18.The quality is not different from a local Primark
482,"They are very good joggers/pants/trousers and you can chose your length which is great.  I work from home, have a toddler and a busy life and also like to work out.  With these you can keep them on all day for all those activities as well as lounge at home. Be careful when ordering, as if you live abroad, you will have to pay taxes when the shipment arrives, or pay upfront at checkout.  Also, make sure you choose your payment currency.The product is really good, I would distribute for them in the UK to be honest and I have just ordered 2 more pairs."
483,I love these pants!! They are hands down the most comfortable pants I own and I will for sure be buying many more in different colors!!! They are the perfect everyday pant and I get compliments every time I wear them!! Thank you Public Rec for making my butt look good!
484,"I have bought 2 pair of of pants from Public Rec.  I am a regular wearer of loose fit non belt requiring casual pants.   Saw an ad for Public Rec and thought I'd try one.  They were a bit more than I usually pay but thought I'd check them out.They turned out to be so much better in quality than any of the others.  The fabric is quality and slightly stretch.   But I LOVED the pockets, which, unlike many others, are deep and close with quality zippers.   They also have a decent back pocket.I've since bought more of these.   They launder easily and I can recommend them to anyone."
485,The quality of the pants is remarkable! They fit great and look great! I have three of these so far. I travel a lot. Flights with same day returns. Mostly for work. These pants added level of comfort during my travel experiences. Next on my list is your Go-To Polo! :)
486,"I purchased my first pair of pants about a year ago, and am now awaiting delivery of my 5th pair.  They are just so very comfortable yet at the same time stylish and functional. Truly, you can go anywhere in them.  Also wonderful for our present lockdown."
487,"Ordered the ADEDP which are great. Super fit, very comfortable. However I was charged £23 for a customs charge on top of the already expensive cost for the trousers! This was not mentioned to me at any point so beware. Also International shipping takes ages!"
488,"Received the ""All Day Every Day Jogger"" 30/30 in the dark olive color as a white elephant gift. The pants fit loose at first (I'm normally a 32/30), so I thought ""the pants will probably stretch."" So I went my day today squatting a couple of times to tie my shoes, pick up my pen, etc. The moment I took these off, I notice a large gaping hole at the seam near the butt. What in the world? I would avoid this company. The website looks kind of sketchy too. Thrown in the trash.Edit: Contacted them via email. As expected, not helpful lol. Hard to trust a company that doesn’t try to make things right."
489,I purchase your product less then 4 months ago and reached out to your support team  about the button hole starting to rip and frey and the gray plastic around the button hole has snapped off  ripping and the response I received was to take it to a seamstress and have it repaired and I would be reimbursed up to $15 for the repair instead of an exchange. Now the gray plastic around the button hole has all black thread threw it and they do not look like when I purchased them from public rec less then 4 months ago I will never purchase a product from a company that can't stand by the product they produce its bad business
490,"First of all, I don't understand all these negative reviews from international buyers. If I buy something from out of the country, I certainly know if duty is charged and I would have factored that in to the price.  Secondly, have you tried these pants on.  They are fantastic! They look great, feel great and I get nothing but compliments. I was a little annoyed that they ran out of stock but that's a sign that these things are very popular. I now own 8 pair and they are my favorite pants All Day, Every Day and all the Days in between!!!  And, oh yes, I'm most definitely not a fake review!"
491,"The shock I had when I opened the shipment is that the Public Rec Work Day pants uses pretty much the same quality material than the 245euros Porsche Design Tec Travel pants !!!! Not only that, the Work Day pants' cut is better than Porsche Design. I was in Hamburg, Germany last May and I am glad that P.D. did not have my size. I am not trying to bad mouth P.D. because I own lots of clothing from them. However, the Public Rec Work Day pants at 108USD is a deal !!! I love the fit, the comfort and the looks. I am likely to buy at least another pair in a different color such as the new dark olive."
492,The workday pants are the best pants I ever owned!! I have 7 pairs and ordering more. Comfortable for work behind a desk as a district manager and still stylish for night life!  I would recommend these to anybody! Don’t stop making these pantsJohnny
493,Great company with great products!  Everything me and my family have purchased have been exactly as described. Customer service is excellent and shipment has always been speedy. Highly recommended and certainly intend to purchase more in the future.
494,Placed an order for a pant and a shirt and received confirmation and a tracking nr: for over 14 days now goods are not moving out of their warehouse??Sent three mails to follow up but no reply at all! It’s a SCAM!!! Don’t buy from these amateurs.
495,The material of these pants looks nice and felt good. However if you have thighs or glutes that even thinking about being large these pants are not for you. I’m 6” 195lbs and I ordered the size recommended based on my Jean size and their fitting chart but they fit like leggings around both my thighs and calves. I returned them for a larger size but they are unwearable with the waist that large to make room for my legs. Also they have a rather high waist (think mom jeans).  For the crotch to fit properly I had to pull them up to my belly button.Maybe they are designed to fit “skinny” but the ads photos are misleading.
496,I purchased a pair of jeans from this site...they looked amazing on the model...but the jeans I got from Daypants were paper thin and as cheap as you could ever imagine. I am very disappointed.  And want my full refund on this product
497,"Unfortunately the same experience as many others. Initially very positive but aded pants seams came loose after a handful of wears. Offered a token amount for tailoring repairs. Ridiculous given how soon this happened.Trash quality, expensive price. Do not buy and don’t be conned like us silly sods all posting here on trust pilot with the exact same issuesAlso, let’s talk about sizes. I went down two sizes from my normal pant size and the damn things still won’t stay up. Edit, going down from 2 to 1 star. Despite public rec admitting the pants are defective they won’t take a return and refund. I have to accept an exchange."
498,"Can’t say enough about their clothing that hasn’t been already said.  I have purchased 2 ADED, along with  4 Joggers and 2 pair of shorts.  They are the most comfortable fitting clothing on the market.  As you may notice, I’m a huge fan."
499,"Bought 2 pair of pants 1 everyday 1 and work pants. Ordered both the same size. Work pant is at least 1-2"" shorter than the everyday pant. Also after wearing the everyday pant for 3 hours they stretched and bagged out. Not impressed at all.."
500,My absolute favorite clothing company. Period. Public Rec is basically all I wear. Fit is superb. Materials are top quality and style is perfect for casual business to weekend comfort. Cannot day enough positive things about this brand!
501,"I really like the Public Rec pants and shorts I have purchased.  Sizing is just right and the fabrics work and wear well.  Fit for me is always a challenge, but the PR slacks always fit me perfectly.  I strongly recommend their apparel."
502,"The quality of their products is only superseded by the quality of the people at Public Rec. Great brand, vision, and values. As an influencer (do not fact check that), I cannot recommend PRec enough to friends, family, and strangers."
503,"Just received my partners order, wrong size and received 2 pairs instead of the one pair we ordered and paid for….Someone obviously has our size 32 waist and we have received 2pairs of size 42 waist…..????"
504,Never buy in South Africa !!!!What a surprise this morning ! I need to pay 56 dollars customs fees to release the parcel.(after 7weeks shipping)I did not saw any warnings when I bought on line !!! Very bad customer experience services!!!!!
505,"If you have ever dreamed of being a superhero buy The Everyday Pant and you will instantly become “The Human Lintbrush”. I kid you not, I have never seen anything like it. I received a pair as a Christmas gift, tried them on, thought that they were so great, that I was ready to order a second pair in a different color. Then I wore them. Within 30 minutes, every fiber, hair, and piece of dust within a square mile was part of my wardrobe. Other than that, I love the feel, fit, design, it’s sad. I just took them out of the wash for the third time since I’ve had them, and at this point, we are going to have to part ways. Even when I’m home alone, I can’t stand to look at myself in them."
506,I received two pairs of the All Day Every Day pants as gifts and they have become my go to pants for hanging around the house or working out. Customer service was excellent in replacing for another size. love my Public Rec pants!
507,"I started with a pair of aded pants and now own a pair in almost every color, moved on and bought there polo and now buying the tee shirts.  I also own 2 pairs of shorts.  I have also bought aded pants for both my older kids.  Are they expensive, yes! Are they worth it Yes! Most comfortable pants you will ever wear and they hold up well. I have a few pairs well over 2 years and they look as good as the new ones I just bought.   I am tall so I appreciate odd sizing like 34x36 pants.  Never had an issue or defect with the clothing.  Overall this is an amazing brand and can not recommend highly enough. Last thing zippered front pockets genius. I lose my phone out of my pant's but not my public recs"
508,"Buyer beware. Customer or shall I say former customer. Received item, did not fit, returned immediately. Several weeks later receive an email telling me they are damaged and will not take my return! This company is a total scam."
509,"This company is full of BS fake reviews. As of Jan 14, 2019 their website has 1,650 reviews for the pants and almost all were fake.  The most obvious giveaway is that exactly ZERO of them are 1,2 or 3 star. Even though the pants are overpriced.  Read them, done by an ad person who tries to hard to make up stories.  And finally, check out the first review on this site, on June 6, 2018.  That day there happens to be 3 5-star reviews that pop-up, all so glowing. Then nobody likes them again on this site.   I wouldn't be surprised if some 2 and 3 stars show up on their own website today, since they'll now realize how their fake reviews are too fake!"
510,"Unfortunately, after 3 months, the seems in the pants broke up causing a gap in the seem. There are three other areas the seem has also broke. They did offer $15 for a tailor, but I would expect $100 pair of pants to last longer."
511,I've got four pairs of the Every Day Pant and two in the shorts.  I've had them for almost a year now.  I really like both the pants and the shorts and would recommend them to anyone.  The zips were a little stiff to begin with but have loosened up with wear.  The fabric is wearing well with no signs of pilling.My only gripe with this company is the after sales back up and the lack of product in stock.  My last delivery took over 6 weeks. (Australia) I sent 3 e-mails and left two voice messages on their phone and not a single person got back to me.  Also often I go onsite to order something and it just isn't in stock which is damned inconvenient.
512,"Poor quality fabric, strange fit so they look like tights on the legs while being lose on the waist.Slow shipping. Extremely expensive for the cheap product it is. And now I have to pay for my own return international shipping."
513,"The overwhelming amount of 5 stars reviews on their website are not fake. Rather speaks of the quality and the comfortable feel of their products. I was sold on my first purchase. Ok it is expensive, but totally worth it!"
514,I have purchased three pairs of pants from Public Rec with 100% satisfaction.  The pants were well constructed and extremely comfortable.  They wash well and are my go to pants for both casual and even dressier occasions.
515,"I am concerned that the negative reviews on their famed ADED pant won’t be posted to their website, tsk I’m writing here. I bought these pants six months ago and the material is beginning to deteriorate and become pilly like you would expect from some $15 generic sweatpants not $100 public rec pants. I reached to customer service with some back and forth they offered me 10% off a future order. In short the quality leaves much to be desired and they don’t stand behind their products to allow me to exchange them. The email I got said that I purchased my pants “way back in May (2020)” I’m sorry if I expect $100 pants to last six months without feeling like my old high school sweats. Buyer beware."
516,"The clothes fit really well, look great and last. I have brought everything from tops to pants to backpacks. I have not found any t-shirts or polo shirts that come close to the Public Rec look and feel."
517,"DO NOT BUY FROM PUBLIC REC, PARTICULARLY IF YOU LIVE OUTSIDE THE US!I bought 4 pairs costing me AUD$728.The quality is terrible (think 1990’s flammable sweat pants), they’re not tapered or fitted, both the Work Pant (I bought 2) and EveryDay Pant (I bought 2) are baggy and poorly made. So I return the 4 pants at a cost of AUD$62 as there are no free returns (unlike MatchesFashion and Mr Porter). So I’m now out of pocket for an awful product for a total of AUD$790My ‘refund’ amount from Public Rec....AUD$595.Terrible product, awful service and basically fraud.I’ll be sharing my experience on all social platforms as well as TrustPilot and Reddit.The more victims I can save from this scam the better."
518,"I ordered pants that were damaged in transit, ie, chewed up by a conveyor or something. I notified Public Rec of the damage when I received the pants and filled out the return.  I also wrote it on the packing slip and you could see the damage on the plastic shipping bag. They accused me of ironing the pants and were going to send them back to me.  After much explanation and begging, they agreed to give me a refund.  Made me feel like I was stealing from them when all they had to do was file a claim with UPS. FYI pockets were not sewn correctly either. I have never experienced customer service being this poor.  Will never recommend or purchase again. They should take a customer service lesson with Nordstrom."
519,I keep adding another public rec item to my wardrobe every month.  Time to replace a T-shirt?order public rec. Time for new work pants? Order public rec. Have about every item by now in at least one color.
520,"Love Public Rec products, but recently had a disappointing experience with customer service. I mistakenly ordered the wrong version of pant. Ordered non-slim, was looking for slim. This was a final sale item. I was aware of the conditions regarding final sale (no returns) and was completely content with that condition. However, as I mentioned, I ordered the wrong pant. Long story short, the pants arrived, I quickly acknowledged that they were the wrong version and never tried them on/opened the bag. Contacted customer service both via call and email. Same response both times, ""Final sale, no returns"". I understand that this condition exists, but even with an order that has never even been opened? Not even a one time exception? For such a high premium we pay for their products, just was expecting a hint of leniency with their customer service."
521,I purchased a pair of ADED joggers and love them. I have had them for two months and have pushed them to the limits. I have used them to remove my materials from my classroom as I am a teacher. Had to travel up and down 3 flights of stairs and these joggers met challenge. They were comfortable and breathable. I received a few compliments as well. I have taken them on bike rides as well. I often pair my black joggers with a T-shirt and and white sneakers for a clean smart casual look. Took them camping for the weekend and they were glorious. The quality is well worth the price. The fit is spot on. I like my clothing more fitted and these def compliment my physique. I am 5’10” 205 semi-muscular with big thighs and they look phenomenal.
522,"After buying two pants and one shorts I discovered that to get a 42 waist size in a 36 length it’s not possible anymore. It’s ok to be a short fat guy, just not a tall one. Stupidest move you could make."
523,These all day pants are wonderful They look and feel great too.  Add a sport shirt and a vest...you will look great going out or on videoWith the Pandemic....I am living in these pants every day!!
524,"The All day everyday pant and work day pants are fantastic. ADED pants are the most comfortable and look fantastic with sneakers or dress up with loafers. Have all the colors and the workdays are sharp looking, super comfortable and can be worn for any occasion  equally as well. The long sleeve tees are fantastic! Wearing one now and the best fit and look to find. Bought the jacket and wear it constantly and totally great looking and compliments any look especially with these pants. I am a stylish picky fashionable guy and all of these cloths are something you are super comfortable but look really good all the time. Trust me you need to put these cloths on and you’ll know what I speak. I’m always asked what I’m wearing too. Comfort in the go! :)"
525,"I bought one pair of Workday Pants and find the design, quality and comfort to be outstanding. We call them trousers over here, but these pants are so versatile, looking and feeling ideal for the office, for leisure and for traveling. The material is unique in that it is stretchy but doesn't bag around the knees despite being worn all day long and it is so nice not to wear jeans or chinos. The waistband is also well designed and sits very comfortably - not high waisted and not round the hips either - just perfect (for me!). The size of the garment was exactly correct and fits perfectly. I love the zipped rear pocket feature - so convenient and secure, and so well designed. No hesitation in giving WorkDay Pants 5 stars - I will order other colours"
526,"Public Rec clothing is among the most comfortable I've ever worn. I now have two pairs of ADED pants, two pairs of shorts and two hoodies. Order true to your preferred size and you'll love it."
527,"The pants are comfortable and looked good enough to wear to the office on a casual day. Unfortunately both side seams split just below the pockets. I paid to get them fixed, but they still look bad and are relegated to yard work.Yes, PublicRec did offer me $15 to have me repair the pant because they were outside the 45 day return period. They went on to say they don't have a warranty. Go figure. Here is their actual response:""As for the pants, our exchange policy covers unwashed and unworn garments within the 45-day return window. Upon review, this was already beyond the return window. We don't have a warranty for the pants, especially for those that were out of our return policy.""I guess you are on your own! They certainly will not own up to their quality problems."
528,"I purchased (2) of the ""All Day Everyday"" ADED pants:(1) All Day Every Jogger / Navy(1) All Day Every Pant / NavyAfter trying on both of the garments, I decided to immediately return the jogger straight away! After washing the ADED garment, I'm not impressed with this product at all! It came with wrinkles and the wrinkles remains after the wash! I wish to return the other ADEDP too!! Imo, they're nothing but a glorified pair of pajamas that's not even made in USA to boot! The Public Rec company should be ashamed of themselves asking $98 for this garment! IMO, I think this company should be called Public Rap€!The Public Rec company doesn't appear to have an active postal address. FYI.MePC * Maintaining and Being An Active Citizen Doing My Civic and Social Duties. ~ 2019"
529,"Hands down merchandise worth every penny! Have bought several items and exchanged a few along the way...seamless and painless. Garments fit great, wear and wash well...thx Public Rec!"
530,Great company. Great quality all day pants. Fast shipping. I bought multiples to try out the different sizes. Their return policy was easy. Highly recommend this company.
531,"Love the shorts I just purchased from Public Rec. They are very comfortable, just like the all day, every day pants. I will be looking to add the navy blue in the near future."
532,"Update: I just received a very apologetic email from the Company acknowledging the inappropriate handling of the issue and was given a refund.  This goes a long way.  Thank you.My son, who hates wearing anything but sweatpants, adores these pants and they are such a step of from sweatpants.  I would encourage anyone to consider them based on that.  Terrible customer service.  Ordered two pair of pants, sent one back within a week or so (end of October).  When I hadn't received my credit card refund, I emailed them today (beginning of December).  I was told that the pants were returned with food stains and they would be sending them back to me.  First, they were only tried on, so any stains happened in your warehouse upon return.  Second, really, it took you over a month to realize this?  I'm not buying it."
533,"Product is a cheap trouser not more worth than €30,- also export to Europe you will have to pay €35,- that makes this trouser over €120! Not worth it. Shipping also takes 5 weeks"
534,Super satisfied with recent purchase of All day Every day pant. Very comfortable and look great. Only slight downside for me: a little baggier in the thighs than I prefer.
535,"I love all my clothing that I have purchased from Public Rec , so comfortable ! The shipping was fantastic!! Highly recommend, thank you for such a great product, Jerry"
536,As well as the toll charge and 4 week delivery the quality was not at all what I expected. The model was not as the photos but waist high ala grandfather 1940. Do not buy.
537,I discovered Public Rec on Facebook.  I order 2 pairs of the Workday Pant and loved them. Now have 6 pairs.  Work great for wearing to the office and the golf course.
538,My favorite brand for comfortable sharp looking clothes.  The only pants I can wear their clothes all day lounging in my house and at work.  Nothing else comopares.
539,"They are comfortable but they are sweat pants and they are cheaply done for the price, you can definitely get better quality, stitching, fabric etc.. for thier cost"
540,I ordered from this company two dresse on 6th December and have emailed them on numerous occasions no reply still haven’t had my order and no contact 🤷🏻‍♀️🤦🏻‍♀️
541,"I bought my dad a pair of pants as a gift.  They fit him well, but the zipper was malfunctioning.  It would get stuck when you moved it.  I sent a note to customer service because I had planned on replacing them.  CS responded asking me to take a picture of the malfunctioning zipper (not something you can see).  I asked for a refund instead.  The same day I was making an exchange on Mack Weldon shorts for my husband (too small).  I went through a few steps and got a pop up saying that they didn't want me to have to wait for the replacement and that they would send the new pair out right away and that I needed to get the small ones in the mail within 30 days.  They made it so easy for me.  Asking someone to take a picture of an issue that you can't see.  I was just asking for a replacement. CS did not need to make this so hard hence the refund instead."
542,"Ordered just Prior to Christmas and arrived within 5 days. Pants are super comfortable, longer than expected so had them taken up and happy with the experience."
543,I can only add to the other poor reviews.I ordered the Pants online for delivery in the UK and at no stage does it mention having to pay for customs charges.The website quoted all costs in £ with Shipping at £5 and Customs and Duties at £0.When they arrived I had to pay an additional £22.50 customs charges to get the parcel released.I spoke to Public Rec and they just didn't want to know.Their Shipping info. weblink page just returns a blank screen and they have hidden the fact you have to pay customs charges in the FAQ page !This Customer Service just fobbed me off saying I should have taken the expedited DHL shipping service - which by the way mentions nothing about paying customs.Very Bad Customer Service.They hide the fact you have to pay an additional £22 for customs duties to buy the Pants in the UK and really don't care about it when you complain it was not stated on the website order form.
544,I just received the workday pants and they seem very comfortable.  I have a pair of the lululemon and these seem just as comfortable and $30 cheaper.
545,"Decent product but horrible shipping and customer service. I made an exchange and week later they still have not shipped replacement. They say it is on its way but FedEx tracking shows that label was created but shipment has not been given to fedex. Expensive item but they ship cheap long and this time they are not shipping at all. Try Ministry of Supply, better product and customer service.IN RESPONSE to vendors comment: that is not what your rep told me, they tried to tell me that item was shipped and will arrive Saturday, which was clearly not true, they just did not want to deal with me. Here is response: Thanks for reaching out! Sorry to hear that you haven't received any update about the order. I'd be happy to assist.Saw this order was submitted on December 8th and the package was shipped the next day (December 9th). Upon checking this FedEx tracking number 781112367980, the estimated delivery date of the package is today, December 12th."
546,My son loved his every day pants Christmas gift! Says they’re the most comfortable pants ever! I love that they come in a 36 length as he is 6’7”!
547,"Bad quality. I bought a pair and after the first wash, the pocket completely detached. For this price, the quality should be much better."
548,Everyday pants are like wearing pajamas to work but definitely fulfilling the business casual dress code.  Super comfortable and no ironing!
549,I love this company. Both the ADED pant and Politan hoodie have totally transformed my comfort when flying. Totally recommend their products.
550,"I've hesitated in purchasing the All Day Every Day pants for quite some time as I was continually asking myself if they were worth the price. Been looking for some comfortable every day pants for quite some time. A few months ago I thought why not and ordered a pair to try them out I ordered from the mens section as I prefer more ""boyfriend"" style pants than the usual womens cut.  When the pants arrived I tried them on and they fit perfectly, good soft medium weight fabric that felt light to wear and looked very smart. They wash well too. These are the kind of pants I will wear practically everywhere as theyre so versatile and look just as smart as my usual ""smart"" pants, way more comfortable than jeans ... that i've pretty much given up on now....  and a step above trackpants.  I was so happy with the fit and quality of the first pair that I immediately ordered 3 more pairs and just now another 2 pairs in different colours.  Theyre not cheap but with the amount of wear Im going to give them they will represent good value."
551,I love this product. I wish I could have one of each style and color. Let’s hope they add more styles and colors - the more the merrier!
552,"Too hot and sweaty. Small pockets. Tight pocket opening,  so hard to do you know what. Tiny zipper  opening. Not worth it."
553,Public Rec is an absolutely wonderful company to work with.  Their clothing is great and their people are great.  It’s my go-to brand!
554,"Very Comfortable.I have ordered several Items and all have a great fit and feel. The clothes ""breath"" and the material feels great."
555,"A friend of mine recommended that I try Public Rec Apparel for men.  This was over a year ago and I have since purchased multiple pairs of pants shorts and tops.  At first I wasn’t sure what all the hype was about, a Public Rec is a bit more pricey until I tried on a pair of the pants and realized how absolutely comfortable are, and the true test of fine apparel for men is how well they fit, feel and washes and wears.  I am pleased to say that all of the apparel is so comfortable fits nicely and washes beautifully in cold water or warm water with light tumble dry and there’s no shrinkage.  Additionally, all the colors “stay fast” meaning they do not fade.  I would recommend Public Rec to any guy that’s looking for really comfortable high-quality casual apparel.  Lastly, I would suggest you buy tops a “size up” as the stretch / cotton fabric is a bit more form fitting and I personally like apparel  that is a bit more loose fitting!  Keep it coming Public Rec!  More fresh casual styles would be appreciated."
556,"Very comfortable and great looking pants. I own a pair of joggers,5 pairs of ADED and 2 pairs of workday pants. They’re all great."
557,I have 7 public rec items. The fabrics are unique (very stretchy) and comfortable. They seem to be well made and I like the fit.
558,"Bought the ADED pants - the sizing is just right and the cut is very good, although the pants are a bit more synthetic looking than I'd hoped. I live in the UK and paid for international shipping. Unfortunately there was an additional customs charge and UK delivery surcharge to pay in order to receive the item. FAQs does mention the possibility of local taxes etc on international orders, but not additional delivery fee. Having bought from other US companies for international shipping it is possible to pay all costs at point of sale and Public Rec aim to offer this in future. I contacted customer service and they were great, no complaints there at all - hence 3 stars for this review instead of 2. However, overall given the additional costs and slow shipping, my experience has been poor and not good value for money - I doubt I'd buy from Public Rec again. If you're buying from overseas for international shipping think carefully - the price you think you're paying and the amount you end up paying may not be the same."
559,Love the clothes the shorts and polo combos are slick and comfortable! I’ve already placed my next order and I am excited!
560,"The model ADEFD is the best pants I have. I was ""addicted"" to jeans, but I moved to these pants after having tried them."
561,"Placed an order with Public Rec on 5/18/2022, credit card was charged same day.  5/19 to 5/22 received emails from Public Rec about order, label creation, shipping, and expected delivery date. (5/22/2022).  Notified that package was delivered on 5/22/2022 - yet no package was delivered.  Contacted Public Rec, they asked me to check to see if my neighbors got my package - I checked and my neighbors haven't received the package.  Public Rec then asked me to wait for 48-72 hours - maybe the package would show up, and they they would investigate from their end.May 24th - Checked back with Public Rec was told that there was no info based on their investigation. May 25th checked back on status and was told to wait for another 48-72 hours.May 25 to 6/1. No info or packages received from Public Rec.It is now 240+ hours since the 'delivery' was made and they only needed 48-72 hours.There is a total of 11 email exchanges - all were polite, all from different people and all with virtually no plan of action.  Was told to wait some more.The ONLY thing I got from Public Rec was a charge on my credit card and worthless emails.IF Public Rec has a customer service moral compass it must be pointed to where the sun does not shine.I do not like writing bad reviews - but this is ridiculous, and hopefully others won't make the same mistake I did of trying to deal with this company."
562,"I purchased 3 pair of workday pants. When I first got them I loved them. Color and fabric was nice and they were very comfortable. However after 3 months things have changed. I wash them on delicate and hang dry. They have never been in a dryer. i wear them to work (office job) only. I started to notice on the khaki pair on the front thigh area they started to pic and look very worn. I have 3 colors so I wear the khaki more often. Well I contacted there customer service and the responded quickly. The main reason was to send them pics of the issue and see if they are having this happen a lot. Given I paid $108 per pair I expected a high quality product that would withstand more wear than I have given them. The response was kind of like they thought I was stupid. I mean they acted like I didn’t know how to wash and care for fine clothing. So I sent them pictures to see if this was something that was a isolated case. The response was disappointing. It was like .. that’s wear and tear and I must be abusing the garment. Not the response I was looking for, they really didn’t seem like they cared."
563,"Order, pay, shipped and received all as business should be handled. All things timely and in exactly as represented."
564,The worst customer service on the planet Very deceptive Absolutely the worst company everThey stole my money
565,Best pants ever i am from the caribbean and its hot. I feel good in these pants.also great customer service.
566,Comfortable fit. Quality material. Quick delivery & excellent customer service. Highly recommend these pants
567,"Great shorts, the material and cut make them super comfy..  Highly recommend! Awesome customer service too!"
568,Product is everything advertised. Size and fabric are perfect. Third product purchased from this company
569,"Just send me a return label that I can take to FedX, UPS or USPS order number is 332001 zip is 60491"
570,"I love the fit, the high quality of material (even the zippers!) and the soft feel.  My go-to now..."
571,These everyday pants are the greatest pants in the world. Super soft plus the sizing feels custom made
572,Public Rec never fails to deliver a great product and equally good customer service.
573,"I don’t normally write reviews but i just got my “all day every day joggers” in the mail from public rec and I just gotta give props where props are due. First, public rec’s customer service helped me a lot. I’m extremely picky when it comes to online shopping so I had a million questions about fit. The gentleman I dealt with was incredibly helpful and patient. The joggers themselves are an absolute home run! Couple things: the fabric is fantastic, Super soft but also very durable, There’s a zipper in one of the pockets which is great for keys and money so the important stuff doesn’t slide out, there’s also a little pouch in one of the pockets that is good for gripping a phone. The pants also just fit really nicely. Very few companies offer a waist size and a length. (I’m a 32/30) It’s a huge upgrade from the standard s,m,l you normally see joggers come in. The pants are a little on the pricey side but given the fit and the quality I really do think they’re worth it. These things seem like they’re gonna last forever so I feel its money well spent. If I had to compare these to something I’d say they are a better version of the lululemon joggers. If you’re looking for pants to workout in or chill around the house these are what you want."
574,Love their clothing. Fabrics are great. Very comfortable with good fit. Highly recommend them.
